P01901859A0000|0 59|UDP-Gal:Gal beta 1----4GlcNAc alpha 1----3-galactosyltransferase
P08021175A0486|119|4 24|integration host factor
P06407348A0516|163|4 24|smooth muscle receptors
P09925372A0458|83|4 24|Kruppel-associated box
P11521191A0000|162|4 24|retinoblastoma protein
P11278521A0849|157|4 24|lacZ reporter construct
P11569900A0660|87|4 24|factor V Leiden mutation
P09837907A0857|158|4 24|c-Jun N-terminal kinase
P09880544A0693|223|4 24|wild-type human btk gene
P07624119A0528|106|4 24|GAL4 DNA-binding domain
P08643513A0361|90|4 24|AML-1-binding sequence
P10715325A0834|125|4 24|ETHYLENE-INSENSITIVE2
P07759525A0417|102|4 24|casein kinase I isoforms
P08228805A0540|116|4 24|protein tyrosine kinase
P09582953A0000|144|4 24|coagulation factors VII
P08230452A0551|168|4 24|poliovirus 3CD protease
P07592771A0258|116|4 24|alpha 1-syntrophin gene
P01572549A0000|168|4 24|growth factor receptors
P08357834A0285|220|4 24|human PKC family members
P10733591A0146|101|4 24|c-jun N-terminal kinase
P02542270A0000|100|4 24|C4 photosynthesis genes
P08264631A0746|99|4 24|ADH2 promoter sequences
P08280925A0261|159|4 24|IgG anti-KLH antibodies
P08260635A0926|91|4 24|chloroplast GAPDH genes
P08703010A0905|173|4 24|E-box-binding proteins
P08707825A0063|172|4 24|monoclonal antibody R4A
P08288596A0663|194|4 24|TATA box binding protein
P08732665A0000|248|4 24|epidermal growth factor
P08234276A0556|87|4 24|NF-kappa B binding sites
P08395681A0388|204|4 24|retinoblastoma protein
P02732341A0000|156|4 24|chloroacetate esterase
P02686749A0000|182|4 24|retinol binding protein
P01679749A1171|136|4 24|HSPG2 proteoglycan gene
P01406677A0000|224|4 24|firefly luciferase gene
P08509419A0785|94|4 24|yeast cytoplasmic TyrRS
P09005273A0322|114|4 24|butyrylcholinesterase
P09005273A1558|126|4 24|butyrylcholinesterase
P10903733A0540|87|4 24|TNFR-associated factor
P09015757T0000|81|4 24|avian bone sialoprotein
P09006910A0000|125|4 24|human RXRgamma2 isoform
P08386592A0089|144|4 24|Elk-1 C-terminal region
P01372900A0448|91|4 24|alpha s1-casein variant
P08532536A0925|112|4 24|epidermal growth factor
P08770920A1220|208|4 24|TAAT-1 element reporter
P08457291A0170|111|4 24|cellular c-fos oncogene
P07935383A0108|178|4 24|adenovirus L3 pre-mRNAs
P03038643A1374|105|4 24|alpha-fodrin-like gene
P01448917A0775|303|4 24|87K presumed polymerase
P02603923A0220|100|4 24|epidermal growth factor
P08892859A0563|87|4 24|truncated C-MYB protein
P01171935A0313|134|4 23|dopamine receptor site
P11069756A2618|386|4 23|paxillin kinase linker
P09099745A1446|259|4 23|CDK-activating kinase
P07908827A1200|212|4 23|RAR responsive element
P07896817A0204|83|4 23|phospholipase C-gamma
P07453919A0000|148|4 23|non-specific esterase
P07876194T0000|110|4 23|tyrosine kinase domain
P09111340A0240|183|4 23|human beta-globin gene
P11306511A1476|105|4 23|progesterone receptor
P08812490A1509|102|4 23|MIP family gene cluster
P11278928A1634|115|4 23|C/EBPepsilon isoforms
P09190202A0166|86|4 23|Sec13p protein complex
P08816459A0090|129|4 23|retinoic acid receptor
P02419327A0998|110|4 23|E. coli endonuclease IV
P11278594A0618|179|4 23|human MIC-1 propeptide
P11481625A0202|127|4 23|peginterferon alfa-2b
P09335608T0000|85|4 23|myosin heavy chain gene
P11574105A0727|258|4 23|anti-GD1a IgM antibody
P10318806A0918|228|4 23|phospholipase C-gamma
P01394200A0592|142|4 23|interleukin 2 receptor
P01697928A1214|197|4 23|alpha/beta interferon
P10347220A1477|88|4 23|RNA 5'-triphosphatase
P09115395A0478|155|4 23|Ribosomal protein L18A
P11376007A0584|156|4 23|protein phosphatase 2A
P08076631A0000|131|4 23|human osteocalcin gene
P09371622A0779|89|4 23|lac operator sequences
P09353255A0159|81|4 23|FG-nucleoporin family
P11254504A0766|132|4 23|nuclear factor-kappaB
P09372451T0000|92|4 23|integrin beta 1 subunit
P09317131A1332|127|4 23|human IgE germline gene
P06818113A0384|152|4 23|plasminogen activator
P09372960A0456|104|4 23|40S ribosomal subunits
P08076937A0851|137|4 23|Tru9I restriction site
P09119031A1036|198|4 23|wild-type sigma factor
P09135149A0000|157|4 23|tyrosine phosphatases
P07476164A1602|136|4 23|wild-type CspB protein
P09676419A0158|219|4 23|serum immunoglobulin E
P08628681A0821|94|4 23|E.coli DNA polymerase I
P08088513A0419|117|4 23|U2 spliceosomal snRNAs
P01826043A0431|178|4 23|protein kinase C family
P02142240A0506|108|4 23|progesteron receptors
P10521509A0000|155|4 23|mammalian RGS proteins
P09461594A0000|136|4 23|phospholipase Cgamma2
P07607537A0954|98|4 23|VP16 activation domain
P10894149T0000|144|4 23|steroidogenic factor 1
P02307848A0347|104|4 23|5.6-kb Eco-R1 fragment
P08132574A0831|99|4 23|cytochrome CYP1A1 gene
P09053309A1103|82|4 23|floor plate inducer shh
P08182041A1067|103|4 23|CREB activation domain
P10903733A0540|125|4 23|TRAF3 adaptor proteins
P08474439A0877|147|4 23|MEF1 (Right E-box) site
P08642313T0000|122|4 23|nuclear factor-kappa B
P07547500A0066|96|4 23|chicken l kappa B-alpha
P09551182A0212|173|4 23|retinoic acid receptor
P11034547A0674|82|4 23|DB1 regulatory element
P08573083A0645|142|4 23|human insulin promoter
P08915508A0000|267|4 23|reverse transcriptase
P08614403A0989|117|4 23|GAL4 response elements
P09566871A0343|155|4 23|reverse transcriptase
P11181531A0464|86|4 23|NF-kappa B target genes
P09065768A0862|86|4 23|mammalian lactase mRNA
P08106313A1492|151|4 23|HrpL-responsive genes
P10603349A1667|145|4 23|Myf5 expression domain
P02247072A0794|104|4 23|E. coli S5 ram mutations
P10602507A0652|166|4 23|dominant-negative p53
P10665798A0598|105|4 23|lactate dehydrogenase
P10702285A0855|133|4 23|p85 regulatory subunit
P07537851A0891|195|4 23|high-mobility-group I
P07721878A1163|125|4 23|Fc epsilon R1 beta chain
P10648020A0151|114|4 23|plasminogen activator
P08663310A0157|86|4 23|immediate-early genes
P08676456A0879|115|4 23|VP16 activation domain
P01692135A0783|126|4 23|Fc gamma R-related mRNA
P07592946A0997|180|4 23|GC-rich binding factor
P01321337A0318|156|4 23|mammalian calcineurin
P08325720A0840|133|4 23|lactate dehydrogenase
P01618027A1108|95|4 23|wild-type E10 fragment
P10725433A0543|145|4 23|CREB-binding sequence
P08439564A0883|88|4 23|human transcobalamin I
P08247005A0584|92|4 23|40S ribosomal subunits
P06328485A0277|236|4 23|chicken proto-myc gene
P10731411A0958|94|4 23|DEAD-box RNA helicases
P01285009A0000|116|4 23|viral thymidine kinase
P10757983A0733|156|4 23|mouse ZBP-89 homologue
P08288633A0144|153|4 23|COOH-terminal segment
P10778740A1493|149|4 23|HIS3 chromosomal locus
P01327758A0000|92|4 23|full-length E2 protein
P10779508T0000|120|4 23|human lactoferrin gene
P08990194A0000|106|4 23|pituitary thyrotropin
P08529098A0549|194|4 23|murine susceptibility
P00264240A1843|152|4 22|X. laevis oocyte 5S DNA
P08455611A0154|86|4 22|zeta 2 globin promoter
P08548291A1059|87|4 22|serum response factor
P08387994A0980|94|4 22|chromosomal attB site
P08794339A1162|116|4 22|CREB-binding protein
P08891337A0614|137|4 22|cAMP response element
P08544820T0000|87|4 22|Drosophila Lsp-2 gene
P03309892A0637|93|4 22|actin gene transcript
P09099702A0692|107|4 22|mouse protamine 2 gene
P08912807A0411|139|4 22|beta-casein promoter
P04014861A0000|105|4 22|superoxide dismutase
P10913304A1180|107|4 22|N-terminal Ets domain
P11012680A1020|165|4 22|PLCgamma binding site
P01413984A0737|219|4 22|von Willebrand factor
P01406630A0545|103|4 22|Rel-related proteins
P10918572A1547|146|4 22|TGF-alpha precursors
P08917696A0485|330|4 22|SV40 minimal promoter
P08916960A0350|82|4 22|rearranged bcl-2 gene
P02188168A0000|98|4 22|anti HIV-1 antibodies
P08808707A0631|115|4 22|Jun N-terminal kinase
P09852005A1287|168|4 22|serum response factor
P07495726A1189|97|4 22|Bcl-2 proto-oncogene
P11069756A2618|124|4 22|focal adhesion kinase
P11062068T0000|110|4 22|p38 C-terminal domain
P01690812A0000|96|4 22|28 S RNA ribosomal gene
P08622675A0587|97|4 22|lymphoid factor Lef-1
P11181516A0119|152|4 22|rat insulin I promoter
P07899581A0000|112|4 22|superoxide dismutase
P09914500A0000|155|4 22|tumor necrosis factor
P11158324A1073|299|4 22|scavenger receptor BI
P11069756A2618|298|4 22|p21-activated kinase
P11145743A0170|183|4 22|deiodinase promoters
P11133830A0174|160|4 22|proto-oncogene c-Cbl
P09916786A0811|160|4 22|alkaline phosphatase
P10029337A0406|101|4 22|serum creatine kinase
P11289149A0658|101|4 22|CREB-binding protein
P11292839A0531|141|4 22|TATA-binding protein
P07937656A0182|203|4 22|alkaline phosphatase
P09328343A0181|99|4 22|HEB-encoded proteins
P08021177A0000|148|4 22|Fur repressor protein
P01313909A0526|104|4 22|ICP0-coding sequence
P07473169A0133|82|4 22|superoxide dismutase
P09360422A0135|101|4 22|betathromboglobulin
P11282395A1073|86|4 22|kappaL chain gene loci
P10231454A0731|102|4 22|alkaline phosphatase
P09822602A0237|201|4 22|CREB-binding protein
P09139910A0350|126|4 22|leuA-specific probes
P11371417A0744|103|4 22|tumor necrosis factor
P09817373A0000|144|4 22|nitric oxide synthase
P07525548A1380|89|4 22|fibronectin variants
P11387950X0001|175|4 22|tumor necrosis factor
P09308738A1216|136|4 22|von Willebrand factor
P10320480A0451|95|4 22|E. coli RNA polymerase
P11260468A1179|119|4 22|histone-like protein
P09252406A0511|120|4 22|phospholipase Cgamma
P07525548A1380|128|4 22|fibronectin variants
P11416012A2511|95|4 22|LDL receptor promoter
P02123877A1452|203|4 22|immediate-early gene
P10413676A0595|147|4 22|FAK C-terminal domain
P02236002A0958|112|4 22|chicken TCR beta cDNAs
P10359792A0610|153|4 22|histone deacetylases
P10775038A0142|94|4 22|Wee1-binding protein
P07706307A0914|82|4 22|S. griseus proteases A
P10752475A1376|134|4 22|anti-CD20 antibodies
P07528772A0616|319|4 22|CD3 epsilon TAM motifs
P07045156A0204|88|4 22|human immunoglobulin
P10392669A0935|326|4 22|histamine H2 receptor
P10454570A0846|101|4 22|Jun N-terminal kinase
P08144852A0000|189|4 22|11-beta-hydroxylase
P10373507A0680|89|4 22|skeletal alpha-actin
P09694869A0932|190|4 22|STAT response element
P02123877A1452|156|4 22|serum response factor
P07565731A1629|117|4 22|ARE-binding proteins
P09744095A1016|249|4 22|shy2-1D single mutant
P07538818A0197|201|4 22|murine interleukin-3
P07585559A0000|181|4 22|alpha-actin promoter
P09686603A0124|147|4 22|TCR beta gene segments
P10514493A0199|96|4 22|endogenous Ntr-1 gene
P07553942A0810|95|4 22|Marchantia rps10 gene
P08106325A0000|140|4 22|diphtheria toxin gene
P09636708A0460|85|4 22|YccA11 mutant protein
P01970560A1024|206|4 22|E. coli TyrR repressor
P02941237A0160|152|4 22|alkaline phosphatase
P06272844A0000|113|4 22|micrococcal nuclease
P09519830A0282|250|4 22|thymidine kinase gene
P07595221A0733|97|4 22|MHC class II promoters
P08663141T0000|120|4 22|angiotensinogen gene
P09561560A0579|135|4 22|HIV-Nef recombinants
P09548481A0000|93|4 22|human IL-5Ralpha gene
P02686749A0000|161|4 22|beta 2-microglobulin
P10564593A1618|154|4 22|MXR half-transporter
P08276851A0347|109|4 22|ATP-binding proteins
P09535082A0537|168|4 22|109 bp hly DNA fragment
P00432615A0541|85|4 22|bovine gammaglobulin
P08367487A1014|101|4 22|endogeneous U2 snRNPs
P08706731A1303|170|4 22|ginseng ribonuclease
P08367487A1014|155|4 22|anti-PRP9 antibodies
P08722011A0103|162|4 22|mammalian protein L12
P01448917A0775|250|4 22|VPg 5'-linked protein
P01757341A0591|127|4 22|alkaline phosphatase
P08316240A1068|94|4 22|MluI restriction site
P08444345A0403|115|4 22|DNA-binding protein B
P01448917A0775|230|4 22|58K presumed helicase
P08382359A0469|148|4 22|pRb-binding sequence
P08972182A0527|124|4 22|ICE inhibitor protein
P08294865A0236|89|4 22|peptide/DR complexes
P08294459A0446|136|4 22|PTP-conserved domain
P09006555A0738|155|4 22|lung myeloperoxidase
P01328681A0149|120|4 22|LTR-binding proteins
P08291233A0000|117|4 22|Rous sarcoma virus LTR
P01871135A0295|130|4 22|rat liver glucokinase
P01285009A0000|142|4 21|rat cholecystokinin
P04014833A0400|95|4 21|phytohemagglutinin
P10773455A1268|105|4 21|mouse ALAS2 promoter
P04071063A0863|98|4 21|alpha 2-antiplasmin
P10758489A0206|84|4 21|CDK from Arabidopsis
P09057648A0422|292|4 21|phytohemagglutinin
P03537721A0876|156|4 21|vacuolar hydrolases
P07935491A1182|93|4 21|retinoid-X receptor
P08898866A0458|95|4 21|wild-type annexin II
P10788476A0891|126|4 21|stomatitis G protein
P09064659A1055|143|4 21|human homolog of UPF1
P01400401A0854|119|4 21|truncated AMPD3 cDNA
P08916928A0950|117|4 21|PDGF beta-receptors
P08798610A0843|148|4 21|GTP-binding protein
P07957632A0000|117|4 21|glutamate receptors
P08871542A1352|90|4 21|Mtx minimal promoter
P03499608A1054|89|4 21|11 beta-hydroxylase
P01850096A0662|122|4 21|cardiac alpha-actin
P01394655A0615b|101|4 21|Jack bean meal urease
P07865787A1086|156|4 21|wheat histone H3 gene
P01744119A0757|144|4 21|63-kDa gene 4 protein
P10995751A0093|112|4 21|IFN response element
P02154686A0185|97|4 21|beta-galactosidase
P10980416T0000|142|4 21|rat BSP gene promoter
P08005230A0222|138|4 21|cellular luciferase
P07559355A0066|148|4 21|Proteus gene cluster
P10933728A1398|191|4 21|CBF1 binding element
P09918715A1158|61|4 21|TATA binding protein
P11038118A0000|105|4 21|bovine serum albumin
P10026784A0331|95|4 21|POU DNA binding motif
P11014215A1092|208|4 21|human GnRHR promoter
P07704273A0000|125|4 21|beta-lactamase gene
P09931252A1055|114|4 21|scaffolding protein
P07782302A0479|122|4 21|Ran-binding protein
P07114083A0153|86|4 21|glucocerebrosidase
P06818113A0384|175|4 21|clotting factor VIII
P11158337A0000|180|4 21|activator protein-1
P09353343A0919|85|4 21|cytoplasmic hnRNP A1
P11127200A1024|230|4 21|parathyroid hormone
P11207282A0729|172|4 21|IgH gene transcripts
P11127200A1024|254|4 21|PTH-related peptide
P09343210A1112|208|4 21|VCAM-1 gene promoter
P09285789A0712|90|4 21|pleckstrin homology
P11084334A0590|176|4 21|heat-shock proteins
P09371431A1172|83|4 21|thiCOGE gene cluster
P11069756A2618|523|4 21|SRC-homology domain
P02052592A0000|303|4 21|phytohemagglutinin
P09373155T0000|95|4 21|axonemal dynein gene
P02528329A0000|139|4 21|uncB (subunit a) gene
P09813254A0000|89|4 21|anti-viral proteins
P10086544A0504|269|4 21|neutrophil elastase
P11353774A0255|152|4 21|homeotic gene family
P10080901A0271|105|4 21|ribosomal protein L9
P09786926A0095|117|4 21|fatty-acid synthase
P07739382A0457|159|4 21|flightless proteins
P11691585A1174|115|4 21|cKrox family members
P11793614A0000|85|4 21|phosphodiesterase 4
P07590268A0350|104|4 21|mammalian MAPKAPK-2
P02542612A0530|87|4 21|NotI repeat promoter
P08172653A1589|134|4 21|TnT multigene family
P08111035A0098|103|4 21|beta-glucuronidase
P11384229A1669|87|4 21|beta-galactosidase
P10395199A0792|106|4 21|anti-Ras mAb Y13-259
P11416012T0000|84|4 21|luteinizing hormone
P10409699A0292|165|4 21|mannosidase homolog
P10358080A1114|214|4 21|HSF1 monomer-trimer
P08163546A1230|120|4 21|vacuolar hydrolases
P10422468A0524|230|4 21|cystic fibrosis gene
P10369418A0644|87|4 21|NF-kappaB complexes
P09420239A1937|90|4 21|Nef coding sequences
P09466931T0000|87|4 21|ng-2 intermolt genes
P06290859A0426|89|4 21|anti-HBs antibodies
P10373507A0680|109|4 21|cardiac alpha-actin
P08093616T0000|131|4 21|DNA polymerase alpha
P09662443A0402|83|4 21|caveolin gene family
P10380878A0542|114|4 21|histone deacetylase
P06602580A0664|105|4 21|alpha 1-antitrypsin
P01774063A0161|114|4 21|thrombospondin gene
P01754381A0000|188|4 21|DNA polymerase alpha
P10518822A1037|120|4 21|CCR3 receptor ligand
P09488441A0615|132|4 21|P-selectin promoter
P01864837A1029|124|4 21|rat alpha 1-protease
P08657135A1444|84|4 21|E protein homodimers
P08439564A0883|111|4 21|porcine haptocorrin
P08443340A0522|120|4 21|beta-glucuronidase
P09584165T0000|91|4 21|src tyrosine kinases
P08317092A0304|98|4 21|RNA polymerase motif
P02111015A0574|115|4 21|IFN response factors
P09617807A0929|175|4 21|Gypsy-like elements
P08749393A0783|94|4 21|p85 adaptor proteins
P09535082A0537|83|4 21|hly target sequences
P09570133A0474|112|4 21|ETS-domain proteins
P08720407A1386|95|4 21|interleukin-1 alpha
P02997777A0609|292|4 21|top2 ts double mutant
P08412662A0333|110|4 21|8.0 kb EcoRI fragment
P08524292A1022|101|4 21|Sp1-related protein
P08759870A1128|103|4 21|Fur repressor dimers
P08756332A0000|129|4 21|protein kinase c-Raf
P10570996A1213|125|4 21|TK class II receptors
P08268718A0676|37|4 21|p50)2-DNA complexes
P08522511A1578|126|4 21|beta-glucuronidase
P08388496A1117|140|4 21|BamHI-A transcripts
P10611320A0816|99|4 21|44-kDa Cak1p protein
P08288596A0663|159|4 21|rGH minimal promoter
P01765375A0290|163|4 21|clathrin heavy chain
P02333749A0411|69|4 21|serum IgE antibodies
P08566751A0455|137|4 21|Drosophila Hox genes
P01699944A1538|142|4 21|cardiac alpha-actin
P07490770A0267|89|4 21|yeast coxI intron aI4
P03992022A0330|103|4 21|aniline hydroxylase
P01970560A1024|120|4 21|beta-Galactosidase
P02446871A1021|105|4 21|4.5S-like structure
P01653173A0619|143|4 21|HPV-18 P105 promoter
P01992459A0000|97|4 21|Rev response element
P08617238A0334|192|4 21|heat shock protein 27
P07516597A1017|98|4 21|viral proteinase NS3
P01313846A0850|187|4 21|poliovirus receptor
P01116466A0185|97|4 20|clotting factors II
P07835886A0894|133|4 20|protein C inhibitor
P07534285A0155|99|4 20|murine Mpl receptor
P07844142A0640|129|4 20|GTPase superfamily
P01321337A0318|218|4 20|bovine calcineurin
P07588240A0000|103|4 20|interleukin-1 beta
P10778740A1493|101|4 20|pho85 coding region
P07588777A1524|96|4 20|p44mapk MAP kinases
P09223475A0898|119|4 20|HCMV early promoter
P02163347A0472|133|4 20|human ets-1 protein
P08631667A0851|156|4 20|thymidylate kinase
P09227799A0254|138|4 20|soluble egg antigen
P01702426A0196|133|4 20|fatty acid synthase
P07797583A0222|220|4 20|DRE-binding factor
P07592485A0734|148|4 20|ure2 delta mutation
P07601445A0207|165|4 20|DEAD protein family
P02109544A0000|132|4 20|leukocyte esterase
P09132057A0559|139|4 20|S-receptor kinases
P10827952A0158|126|4 20|histone H4 peptides
P09843378A0187|86|4 20|SH3 binding domains
P06319072A0711|162|4 20|beta-adrenoceptor
P08182041A1067|129|4 20|PEPCK TATA sequence
P08188290A0544|144|4 20|TCRAJ gene segments
P08183915A0000|104|4 20|p70 I kappa B protein
P01545523A0000|105|4 20|antistreptolysin O
P09990060A0937|91|4 20|GABPalpha and -beta
P10942587A0981|211|4 20|anti-E7 antibodies
P11014213A1019|140|4 20|chimeric receptors
P09353296A0510|100|4 20|E. coli moaC product
P07748493A1045|87|4 20|egg-laying hormone
P09372968A0532|79|4 20|9-kDa human homolog
P09882348A0611|95|4 20|Shc adapter protein
